Top pages,Clicks,Impressions,CTR,Position
https://pandapatches.com/_next/image?url=https://cdn.sanity.io/images/hjpcv7rv/production/d2e73320cd493e9ee20b7d56bf8004641cd7a174-778x770.png?w%3D1000%26q%3D75%26fit%3Dmax%26auto%3Dformat&w=3840&q=75,0,1,0%,15
https://pandapatches.com/wp-content/uploads/2024/02/01-20.jpg,0,1,0%,15
https://pandapatches.com/wp-content/uploads/2024/02/02.jpg,0,1,0%,16
https://pandapatches.com/_next/image?url=https://cdn.sanity.io/images/hjpcv7rv/production/2cb24f3df84c900586131efb24dbd2e8496c2377-2952x2952.png?w%3D1000%26q%3D75%26fit%3Dmax%26auto%3Dformat&w=3840&q=75,0,1,0%,17
https://pandapatches.com/wp-content/uploads/2024/08/admin-ajax-1.webp,0,1,0%,17
https://www.pandapatches.com/_next/image?url=https://cdn.sanity.io/images/hjpcv7rv/production/c095104ebb1fd1cd69b1e2c4b2e9b83f2ea47f2f-2952x2952.png?w%3D1000%26q%3D75%26fit%3Dmax%26auto%3Dformat&w=3840&q=75,0,1,0%,17
https://pandapatches.com/_next/image?url=https://cdn.sanity.io/images/hjpcv7rv/production/bcdbb9b2a11ad14e820f82bf1af80ff8189832db-1662x2064.png?w%3D1000%26q%3D75%26fit%3Dmax%26auto%3Dformat&w=3840&q=75,0,1,0%,19
https://pandapatches.com/_next/image?url=https://cdn.sanity.io/images/hjpcv7rv/production/4ac4c2816d2790b8c7a7c5a2f62220bdca369daa-1970x1970.png?w%3D1000%26q%3D75%26fit%3Dmax%26auto%3Dformat&w=3840&q=75,0,1,0%,20
https://www.pandapatches.com/_next/image?url=https://cdn.sanity.io/images/hjpcv7rv/production/af7fa752604dd95429a5fcea31718514b64f4525-2952x2952.png?w%3D1000%26q%3D75%26fit%3Dmax%26auto%3Dformat&w=3840&q=75,0,1,0%,23
https://pandapatches.com/wp-content/uploads/2025/05/IMG_7762-1-1024x442-1.webp,0,1,0%,25
https://www.pandapatches.com/_next/image?url=https://cdn.sanity.io/images/hjpcv7rv/production/e2c6ae7c791a6cc03d855f210c2afebeeb653764-4500x4475.jpg?w%3D1000%26q%3D75%26fit%3Dmax%26auto%3Dformat&w=3840&q=75,0,1,0%,25
https://pandapatches.com/wp-content/uploads/2024/02/pn-03.png,0,1,0%,26
https://pandapatches.com/wp-content/uploads/2024/10/be311874-180e-40fb-8643-190966536e0e-1.webp,0,1,0%,27
https://pandapatches.com/_next/image?url=https://cdn.sanity.io/images/hjpcv7rv/production/328ed149ca3dfd1e7bd4d096635d9ee0cd134221-4500x4475.jpg?w%3D1000%26q%3D75%26fit%3Dmax%26auto%3Dformat&w=3840&q=75,0,1,0%,28
https://pandapatches.com/_next/image?url=https://cdn.sanity.io/images/hjpcv7rv/production/ea7bf6463d7474633f0ea28aa46cf2e42ad497a8-2024x2024.png?w%3D1000%26q%3D75%26fit%3Dmax%26auto%3Dformat&w=3840&q=75,0,1,0%,28
https://pandapatches.com/wp-content/uploads/2024/02/03.jpg,0,1,0%,28
https://pandapatches.com/wp-content/uploads/2025/02/08ced887-9876-4e27-ac68-a11522ec1dd4.webp,0,1,0%,29
https://pandapatches.com/wp-content/uploads/2024/02/03-5.jpg,0,1,0%,30
https://www.pandapatches.com/_next/image?url=https://cdn.sanity.io/images/hjpcv7rv/production/aafba88d54a99e6aec13d7285f01f8430fdf2e61-4500x4475.jpg?w%3D1000%26q%3D75%26fit%3Dmax%26auto%3Dformat&w=3840&q=75,0,1,0%,30
https://pandapatches.com/wp-content/uploads/2024/10/dl.beatsnoop.com-final-VZhsr1TNGI-300x191.webp,0,1,0%,36
https://pandapatches.com/wp-content/uploads/2025/01/DALL·E-2025-01-18-07.55.42-An-instructional-image-illustrating-the-process-of-removing-patch-glue-from-clothes.-The-scene-features-a-hand-holding-a-warm-iron-over-a-fabric-with-1-1.webp,0,1,0%,37
https://pandapatches.com/wp-content/uploads/2024/02/pn04.png,0,1,0%,55
https://pandapatches.com/_next/image?url=https://cdn.sanity.io/images/hjpcv7rv/production/c095104ebb1fd1cd69b1e2c4b2e9b83f2ea47f2f-2952x2952.png?w%3D1000%26q%3D75%26fit%3Dmax%26auto%3Dformat&w=3840&q=75,0,1,0%,57
